sector,industry,subindustry,ssic2010,ssic2015
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,27322,27322
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,27323,27323
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,27324,27324
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,27329,27329
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,27330,27330
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,28141,28141
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,28142,28142
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,28223,28223
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,28271,28271
Manufacturing,Precision Engineering (CMA),Precision Modules & Components,28272,28272
Manufacturing,Transport Engineering,Marine & Offshore Engineering,,28112
Manufacturing,Transport Engineering,Marine & Offshore Engineering,28241,28241
Manufacturing,Transport Engineering,Marine & Offshore Engineering,28242,28242
Manufacturing,Transport Engineering,Marine & Offshore Engineering,30111,30110
Manufacturing,Transport Engineering,Marine & Offshore Engineering,30112,
Manufacturing,Transport Engineering,Marine & Offshore Engineering,30113,
Manufacturing,Transport Engineering,Marine & Offshore Engineering,30120,30120
Manufacturing,Transport Engineering,Aerospace,30301,30301
Manufacturing,Transport Engineering,Aerospace,30302,30302
Manufacturing,Transport Engineering,Land,22121,22121
Manufacturing,Transport Engineering,Land,25200,25200
Manufacturing,Transport Engineering,Land,29100,29100
Manufacturing,Transport Engineering,Land,29200,29200
Manufacturing,Transport Engineering,Land,29300,29300
Manufacturing,Transport Engineering,Land,30200,30200
Manufacturing,Transport Engineering,Land,30400,30400
Manufacturing,Transport Engineering,Land,30910,30910
Manufacturing,Transport Engineering,Land,30920,30920
Manufacturing,Transport Engineering,Land,30990,30990
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10101,10101
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10102,10102
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10103,10103
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10104,10104
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10105,10105
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10109,10109
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10201,10201
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10202,10202
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10301,10301
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10302,10302
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10303,10303
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10401,10401
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10402,10402
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10403,10403
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10404,10404
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10405,
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10409,10409
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10501,10501
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10502,10502
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",,10503
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10509,10509
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10611,10611
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10612,10612
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10613,10613
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10614,10614
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10619,10619
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10621,10620
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10622,10620
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10629,10620
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10711,10711
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10712,10712
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10719,10719
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10720,10720
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10731,10731
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10732,10732
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10733,10733
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10739,
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10740,10740
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10750,10750
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10761,10761
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10762,10762
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10763,10763
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10764,10764
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10765,10765
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10791,10791
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10792,10792
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10793,10793
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10794,10794
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10795,11043
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10799,10799
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",10800,10800
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",11010,11010
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",11020,11020
Manufacturing,General Manufacturing Industries,"Food, Beverages & Tobacco",11030,11030
